//Gods Weapons
[0,1,2,3,4,5,6,7,8,9,10]
[["Gold Trident","iVBORw0KGgoAAAANSUhEUgAAACgAAAA8CAYAAAAUufjgAAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAKKADAAQAAAABAAAAPAAAAADvhlfuAAABfUlEQVRoBe2ZsU7DMBCGL3TMClIlNt4C8Q5deAV4qvIKDDCyI1ZYmACJoRISLIDYWplcYkdn05DoTC+i+j3kzrUv/vrZUaWUCO3/GnBD0HeGTNrAHHfztODb9kKOBTj4O1sCRrY+P95TyGg8DFoB9m1p57gFoLu6vQ9C2vj8+NDmIfHzIpMWgPX6hwf7HIsAk8SCx9dBmwCuWzgB7OyaACaru+VFSSfTGXGsWrSlyVwyA5yfX9Yw7pposvtFq70mcr9qzo/XHXnpOhNyzl/kLQCbY7jQJq9EZy81PJ0ez/jjiCnqhKINxXorvbHGYAXHrThqIqdt5hOzLfaLFwyzeiuJzXH0cAz2Ay6Ftey75V3JRn99QBjI0qBKAABV2kQRDAoZqhQGVdpEEQwKGaoUBlXaRBEMChmqFAZV2kQRDAoZqhQGVdpEEQwKGUhhAAa2yYCrXiLh1YfJjuKXJFczDMJgroHcepxBGMw1kFuPM5hrcMz63n+ZxoTbnrW/AbQKVAVEsSQ/AAAAAElFTkSuQmCC"],
["Silver Trident",""],
["Lightning Bolt",""],
["Gold Sword",""],
["Silver Sword",""],
["Staff",""],
["Silver Spear",""],
["Gold Spear",""],
["Bow and Arrow",""],
["Sling",""],
["Club",""]]
